Chlamydia.psittaci_83554,Aliarcobacter.cryaerophilus_28198,Collinsella.aerofaciens_74426,Bifidobacterium.breve_1685,Actinomyces.naeslundii_1655
0.0,2e-05,0.00158,7e-05,1e-05
1e-05,0.0,0.00306,1e-05,3e-05
0.00024,0.0,0.00262,8e-05,1e-05
2e-05,2e-05,0.00083,0.0002,0.0
1e-05,0.0,0.00377,3e-05,1e-05
0.0,1e-05,3e-05,2e-05,0.0
0.00027,1e-05,0.00833,0.00342,8e-05
1e-05,0.0,4e-05,0.00042,2e-05
1e-05,0.0,0.00014,0.00012,1e-05
0.0,2e-05,0.00032,6e-05,1e-05
0.0,2e-05,0.0002,4e-05,0.0
0.0,0.0,0.00165,9e-05,0.0
1e-05,1e-05,0.01164,0.0001,2e-05
1e-05,1e-05,0.00165,9e-05,1e-05
1e-05,1e-05,0.00203,0.00031,1e-05
0.0,1e-05,0.00048,3e-05,0.0
5e-05,0.0,0.00169,6e-05,1e-05
0.0,2e-05,0.00068,5e-05,1e-05
2e-05,0.0,0.00063,6e-05,0.0
6e-05,1e-05,0.00221,0.0002,1e-05
0.0,3e-05,9e-05,4e-05,0.0
0.0,1e-05,0.00131,3e-05,1e-05
0.0,0.0,0.00026,2e-05,0.0
0.0004,2e-05,0.01063,0.00057,2e-05
1e-05,0.0,0.00168,0.00118,2e-05
1e-05,1e-05,0.0012,5e-05,1e-05
0.0,3e-05,8e-05,3e-05,0.0
0.00034,0.0,0.00741,7e-05,4e-05
0.00014,1e-05,0.00781,0.00018,1e-05
0.00023,0.0,3e-05,0.00043,0.0
0.0,0.0,6e-05,4e-05,1e-05
0.0,0.0,0.00188,9e-05,1e-05
0.00018,0.0,0.00225,4e-05,2e-05
0.0,1e-05,0.00117,6e-05,0.0
0.0,1e-05,0.00026,4e-05,0.0
0.0,0.0,0.00154,2e-05,0.0
1e-05,0.0,0.00045,7e-05,1e-05
0.0,1e-05,0.00067,1e-05,0.0
1e-05,0.0,0.00458,0.00014,3e-05
0.00011,0.0,0.00198,2e-05,1e-05
0.0,1e-05,0.00483,0.0007,2e-05
2e-05,1e-05,5e-05,4e-05,0.0
1e-05,1e-05,0.0007,2e-05,1e-05
0.0,1e-05,0.003,6e-05,0.0
1e-05,0.0,3e-05,4e-05,1e-05
0.0,2e-05,0.00027,5e-05,0.0
0.0,1e-05,0.00054,2e-05,0.0
0.0,1e-05,0.00146,0.00017,0.0
0.0,1e-05,0.00021,4e-05,0.0
0.0,0.0,0.00046,3e-05,0.0
0.0,1e-05,3e-05,3e-05,0.0
6e-05,0.0,0.00099,1e-05,0.0
0.00049,1e-05,0.00458,0.00062,1e-05
0.0,0.0,0.0008,6e-05,0.0
4e-05,0.0,0.00071,2e-05,1e-05
1e-05,1e-05,0.00025,2e-05,1e-05
0.0,1e-05,0.00019,1e-05,0.0
0.00018,1e-05,0.00571,0.00075,5e-05
0.0,1e-05,0.00085,4e-05,1e-05
1e-05,2e-05,0.00032,6e-05,1e-05
0.0,0.0,0.00012,3e-05,1e-05
0.0,0.0,0.00311,2e-05,1e-05
0.0,1e-05,4e-05,3e-05,1e-05
0.0001,1e-05,0.00013,2e-05,1e-05
0.0,1e-05,0.00046,2e-05,0.0
0.0,1e-05,0.00012,2e-05,1e-05
0.0,4e-05,0.00131,0.00024,1e-05
0.0,1e-05,0.00033,1e-05,0.0
0.0,0.0,3e-05,1e-05,1e-05
0.0,0.0,0.00384,9e-05,2e-05
2e-05,0.0,0.00669,0.00016,1e-05
0.0,1e-05,3e-05,1e-05,1e-05
0.0,1e-05,0.00048,2e-05,0.0
0.0,1e-05,3e-05,2e-05,1e-05
0.0,1e-05,3e-05,2e-05,2e-05
0.00014,1e-05,0.02657,0.00031,2e-05
0.00047,1e-05,0.00595,0.00077,5e-05
1e-05,2e-05,0.00103,4e-05,1e-05
0.0,1e-05,0.00049,2e-05,0.0
1e-05,2e-05,0.00354,0.00014,2e-05
0.0,1e-05,0.00091,3e-05,2e-05
0.0,1e-05,8e-05,6e-05,0.0
7e-05,0.0,0.00123,3e-05,2e-05
0.0,2e-05,0.00109,4e-05,1e-05
0.0,1e-05,1e-05,1e-05,0.0
0.00074,1e-05,0.00365,4e-05,1e-05
1e-05,1e-05,0.00012,0.00013,1e-05
0.0,1e-05,0.00044,2e-05,0.0
0.0,0.0,6e-05,2e-05,1e-05
0.0,1e-05,0.00054,1e-05,0.0
1e-05,1e-05,6e-05,2e-05,0.0
0.0,0.0,3e-05,3e-05,0.0
1e-05,1e-05,0.00063,5e-05,1e-05
3e-05,1e-05,5e-05,0.00011,0.0
1e-05,1e-05,0.00037,2e-05,0.0
9e-05,1e-05,0.00014,0.00061,5e-05
0.0,1e-05,9e-05,4e-05,0.0
0.0,1e-05,6e-05,5e-05,0.0
5e-05,0.0,2e-05,0.00257,0.0
1e-05,0.0,0.00292,2e-05,0.0
0.00011,0.0,3e-05,4e-05,6e-05
0.0,0.0,0.00045,2e-05,0.0
8e-05,0.0,0.00108,9e-05,0.0
0.0,2e-05,8e-05,3e-05,0.0
0.00052,1e-05,6e-05,0.00012,2e-05
0.0003,0.0,0.00193,4e-05,0.0
2e-05,1e-05,0.00171,3e-05,1e-05
0.0,1e-05,7e-05,2e-05,0.0
0.0,0.0,0.00134,2e-05,0.0
0.0,0.0,3e-05,0.00052,5e-05
0.00051,0.0,0.00125,1e-05,1e-05
6e-05,0.0,1e-05,4e-05,0.0
0.0002,0.0,0.00088,2e-05,3e-05
0.0,1e-05,0.00038,2e-05,0.0
0.0,1e-05,0.00129,7e-05,1e-05
0.0,1e-05,0.00088,4e-05,1e-05
0.0,1e-05,3e-05,2e-05,0.0
0.0,0.0,0.00147,3e-05,1e-05
0.00031,0.0,0.00021,6e-05,1e-05
0.0,2e-05,0.00024,2e-05,0.0
0.0,1e-05,6e-05,7e-05,1e-05
2e-05,0.0,0.01827,0.00044,4e-05
1e-05,1e-05,8e-05,8e-05,0.0
0.0,2e-05,0.00026,5e-05,1e-05
2e-05,0.0,2e-05,8e-05,0.0
0.0,2e-05,7e-05,5e-05,1e-05
8e-05,1e-05,0.00658,0.00027,1e-05
0.0,1e-05,0.0004,4e-05,0.0
0.00017,0.0,0.00348,0.00021,4e-05
4e-05,0.0,0.00116,2e-05,1e-05
0.0,0.0,1e-05,3e-05,0.0
0.0,1e-05,0.00044,2e-05,0.0
0.00039,0.0,0.00726,2e-05,1e-05
0.0,1e-05,0.00155,4e-05,0.0
0.0,2e-05,0.00073,5e-05,0.0
0.0,1e-05,0.00153,3e-05,1e-05
2e-05,2e-05,0.0001,4e-05,0.0
0.0,1e-05,0.0039,2e-05,2e-05
8e-05,1e-05,0.00166,4e-05,1e-05
6e-05,0.0,0.0028,3e-05,1e-05
4e-05,0.0,5e-05,0.0001,8e-05
0.0,2e-05,0.00073,4e-05,0.0
0.0,1e-05,0.00019,1e-05,0.0
0.00082,0.0,0.00367,3e-05,1e-05
4e-05,1e-05,0.00012,3e-05,7e-05
0.0,1e-05,6e-05,3e-05,0.0
0.0,0.0,2e-05,2e-05,0.0
0.0,3e-05,0.00349,4e-05,1e-05
0.0,0.0,2e-05,4e-05,0.0
3e-05,0.0,0.00268,7e-05,2e-05
0.0,3e-05,0.00139,4e-05,1e-05
1e-05,1e-05,0.00025,0.0001,0.0
0.0,1e-05,0.00072,8e-05,2e-05
2e-05,0.0,0.00018,0.00019,1e-05
0.0,0.0,1e-05,0.0,0.0
0.0,1e-05,0.00027,1e-05,0.0
0.00056,1e-05,0.00572,4e-05,6e-05
0.00032,1e-05,0.00191,0.00015,4e-05
